Index,Author,Compound,Tech,RL_inf,Influent,RL_eff,Effluent,Type,,,,,,,,
12,Perez,Caffeine,Reverse Osmosis,,23815,,0.15,Stimulant,,,,,,,,
12,Perez,4-AAA,Reverse Osmosis,,11220,,0.187,Drug metabolite,,,,,,,,
2,Margot,Paracetamol,"Ozone, Sand Filter",7.9,51438,7.9,1.185,Analgesic,,,,,,,,
8,Rodriguez-Mozaz,Acetominophen,MF,51.4,208601,5,6.5,Anti-inflammatory,,,,,,,,
8,Rodriguez-Mozaz,Acetominophen,RO,51.4,208601,0.7,8.7,Anti-inflammatory,,,,,,,,
23,Hijosa-Valsero,Ibuprofen,Maturation Pond,,3980,,0.2,Anti-inflammatory,,,,,,,,
28,Chiu,Acetaminophen,UV,0.2,140000,0.2,8,Anti-inflammatory,,,,,,,,
8,Rodriguez-Mozaz,Acetominophen,UV,51.4,208601,5,21.5,Anti-inflammatory,,,,,,,,
24,Li,Caffeine,"Aerated Lanoons (2), Sand Tank",6.3,51300,6,6,Stimulant,,,,,,,,
1,Kim,Caffeine,Membrane Bioreactor,60,116000,15,18.2,Stimulant,,,,,,,,
1,Kim,Caffeine,Membrane Bioreactor,60,108000,15,17.7,Stimulant,,,,,,,,
12,Perez,Ibuprofen,Reverse Osmosis,,2551,,0.423,Anti-inflammatory,,,,,,,,
1,Kim,Caffeine,Membrane Bioreactor,60,96300,15,16.4,Stimulant,,,,,,,,
38,Knopp,Caffeine,Biofilter,25,139400,25,25,Stimulant,,,,,,,,
38,Knopp,Caffeine,"Biofilter, ae",25,139400,25,25,Stimulant,,,,,,,,
38,Knopp,Caffeine,GAC,25,139400,25,25,Stimulant,,,,,,,,
38,Knopp,Caffeine,"GAC, ae",25,139400,25,25,Stimulant,,,,,,,,
38,Knopp,Caffeine,Ozone,25,139400,25,30,Stimulant,,,,,,,,
8,Rodriguez-Mozaz,Gemfibrozil,RO,0.1,7438.5,0.5,1.7,Lipid Regulator,,,,,,,,
39,Estrada-Arriaga,Paracetamol,UV,17.1,66000,17.1,17.3,Anti-inflammatory,,,,,,,,
3,Sim,Acetylsalicylic Acid,SF,3,11100,3,3,Anti-inflammatory,,,,,,,,
38,Knopp,Carboxy-ibuprofen,Ozone,25,79200,25,25,Drug Metabolite,,,,,,,,
3,Sim,Acetylsalicylic Acid,SF,3,7600,3,3,Anti-inflammatory,,,,,,,,
1,Kim,Naproxen,Membrane Bioreactor,3,11200,12,5.78,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Paracetamol,UV,17.1,31100,17.1,17.1,Anti-inflammatory,,,,,,,,
38,Knopp,2-Hydroxy ibuprofen,Biofilter,25,44800,25,25,Drug Metabolite,,,,,,,,
38,Knopp,2-Hydroxy ibuprofen,"Biofilter, ae",25,44800,25,25,Drug Metabolite,,,,,,,,
38,Knopp,2-Hydroxy ibuprofen,GAC,25,44800,25,25,Drug Metabolite,,,,,,,,
38,Knopp,2-Hydroxy ibuprofen,"GAC, ae",25,44800,25,25,Drug Metabolite,,,,,,,,
41,Yang,Acetaminophen,MF,5000,80000,50,50,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Androsterone,UV,6.96,10800,6.96,6.96,Steroid Hormone,,,,,,,,
4,Urtiaga,Gemfibrozil,Reverse Osmosis,,18504,,12,Lipid Regulator,,,,,,,,
8,Rodriguez-Mozaz,Ketoprofen,RO,168.8,16184.5,11.5,11.5,Anti-inflammatory,,,,,,,,
28,Chiu,Caffeine,UV,1,51000,1,37,Stimulant,,,,,,,,
4,Urtiaga,Hydrochlorothiazide,Reverse Osmosis,,16628,,13,Diuretic,,,,,,,,
3,Sim,Acetylsalicylic Acid,UV,3,7600,3,6,Anti-inflammatory,,,,,,,,
1,Kim,Naproxen,Membrane Bioreactor,3,11300,12,9.04,Anti-inflammatory,,,,,,,,
3,Sim,Acetylsalicylic Acid,UV,3,11100,3,9,Anti-inflammatory,,,,,,,,
41,Yang,Caffeine,MF,5000,80000,10,65,Stimulant,,,,,,,,
1,Kim,Naproxen,Membrane Bioreactor,3,9730,12,7.98,Anti-inflammatory,,,,,,,,
28,Chiu,Ibuprofen,UV,0.6,9200,0.6,8,Anti-inflammatory,,,,,,,,
38,Knopp,2-Hydroxy ibuprofen,Ozone,25,44800,25,40,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Paracetamol,ClO2,17.1,18500,17.1,17.1,Anti-inflammatory,,,,,,,,
3,Sim,Acetylsalicylic Acid,UV,3,3160,3,3,Anti-inflammatory,,,,,,,,
3,Sim,Acetaminophen,Chlorine,10,10100,10,10,Anti-inflammatory,,,,,,,,
1,Kim,Ibuprofen,Membrane Bioreactor,15,17100,60,17.7,Anti-inflammatory,,,,,,,,
3,Sim,Acetaminophen,SF,10,9610,10,10,Anti-inflammatory,,,,,,,,
3,Sim,Acetaminophen,SF,10,9500,10,10,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Naproxen,ClO2,7.59,7010,7.59,7.59,Anti-inflammatory,,,,,,,,
1,Kim,Ibuprofen,Membrane Bioreactor,15,15900,60,17.7,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Sulfamethoxazole,ClO2,0.47,641,0.47,0.75,Antibiotic,,,,,,,,
38,Knopp,1H-benzotriazole,"GAC, ae",25,25000,25,30,Corrosion Inhibitor,,,,,,,,
30,Hijosa-Valsero,Carboxy-ibuprofen,Constructed Wetland,,7840,,10,Drug Metabolite,,,,,,,,
3,Sim,Acetylsalicylic Acid,Chlorine,3,7640,3,10,Anti-inflammatory,,,,,,,,
6,Behera,Acetaminophen,UV,1.721,7460,1.721,10,Anti-inflammatory,,,,,,,,
1,Kim,Acetominaphen ,Membrane Bioreactor,15,12200,60,16.4,Anti-inflammatory,,,,,,,,
18,Rosal,Acetaminophen,Ozone,33,23202,33,33,Anti-inflammatory,,,,,,,,
1,Kim,Acetominaphen ,Membrane Bioreactor,15,12400,60,17.7,Anti-inflammatory,,,,,,,,
1,Kim,Paraxanthine,Membrane Bioreactor,240,48300,60,70.9,Stimulant,,,,,,,,
3,Sim,Acetylsalicylic Acid,Biological Filtration System,3,2040,3,3,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Trimethoprim,ClO2,0.9,601,0.9,0.9,Antibiotic,,,,,,,,
1,Kim,Paraxanthine,Membrane Bioreactor,240,45600,60,70.9,Stimulant,,,,,,,,
39,Estrada-Arriaga,Ranitidine,ClO2,0.3,189,0.3,0.3,Antihistamine,,,,,,,,
3,Sim,Acetaminophen,UV,10,6260,10,10,Anti-inflammatory,,,,,,,,
16,Ávila,Ibuprofen,Constructed Wetland,,18660,,30,Anti-inflammatory,,,,,,,,
4,Urtiaga,Nicotine,Reverse Osmosis,,10954,,18,Stimulant,,,,,,,,
1,Kim,2-Hydroxy-ibuprofen,Membrane Bioreactor,80,51700,320,87.6,Drug Metabolite,,,,,,,,
1,Kim,2-Hydroxy-ibuprofen,Membrane Bioreactor,80,54300,320,94.6,Drug Metabolite,,,,,,,,
1,Kim,Acetominaphen ,Membrane Bioreactor,15,10100,60,17.7,Anti-inflammatory,,,,,,,,
8,Rodriguez-Mozaz,Bezafibrate,RO,78,997,1.3,1.75,Lipid Regulator,,,,,,,,
3,Sim,Caffiene,Chlorine,13,7310,13,13,Stimulant,,,,,,,,
1,Kim,Ibuprofen,Membrane Bioreactor,15,16700,60,29.7,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Metformin,UV - ClO2,11.2,32100,11.2,57.6,Antidiabetic,,,,,,,,
38,Knopp,3-Hydroxy ibuprofen,Ozone,25,13700,25,25,Drug Metabolite,,,,,,,,
39,Estrada-Arriaga,Caffeine,UV,29,31100,29,57,Stimulant,,,,,,,,
4,Urtiaga,Caffeine,Reverse Osmosis,,17725,,33,Stimulant,,,,,,,,
1,Kim,Paraxanthine,Membrane Bioreactor,240,34400,60,65.7,Stimulant,,,,,,,,
1,Kim,2-Hydroxy-ibuprofen,Membrane Bioreactor,80,48300,320,94.5,Drug Metabolite,,,,,,,,
38,Knopp,1H-benzotriazole,GAC,25,25000,25,50,Corrosion Inhibitor,,,,,,,,
12,Perez,Nicotine,Reverse Osmosis,,18428,,37.21,Stimulant,,,,,,,,
3,Sim,Acetaminophen,Chlorine,10,4810,10,10,Anti-inflammatory,,,,,,,,
3,Sim,Caffiene,SF,13,6170,13,13,Stimulant,,,,,,,,
21,Le-Minh,Etiocholanone (E),MBR,,4710,,10,Drug metabolite,,,,,,,,
8,Rodriguez-Mozaz,Atenolol,RO,8.6,1237.5,0.3,2.8,Beta-Blocker,,,,,,,,
39,Estrada-Arriaga,Androsterone,ClO2,6.96,3020,6.96,6.96,Steroid Hormone,,,,,,,,
8,Rodriguez-Mozaz,Azythromycin,RO,6.1,672.5,0.7,1.55,Antibiotic,,,,,,,,
39,Estrada-Arriaga,Caffeine,UV,29,12400,29,29,Stimulant,,,,,,,,
39,Estrada-Arriaga,Ranitidine,UV - ClO2,0.3,122,0.3,0.3,Antihistamine,,,,,,,,
39,Estrada-Arriaga,Paracetamol,UV - ClO2,17.1,6940,17.1,17.1,Anti-inflammatory,,,,,,,,
3,Sim,Caffiene,UV,13,4860,13,13,Stimulant,,,,,,,,
38,Knopp,Iopromide,GAC,25,9200,25,25,Iodinated contrast medium,,,,,,,,
21,Le-Minh,Etiocholanone (E),MBR,,3423,,10,Drug metabolite,,,,,,,,
3,Sim,Acetaminophen,Biological Filtration System,10,3410,10,10,Anti-inflammatory,,,,,,,,
7,Oliveira,Theobromine,UV,,16630,,50,Food,,,,,,,,
25,Carmona,Propylparaben,"Filtration, UV",4,163,0.5,0.5,Preservative,,,,,,,,
8,Rodriguez-Mozaz,Metoprolol,RO,8.9,319,0.5,1,Beta-Blocker,,,,,,,,
8,Rodriguez-Mozaz,Ofloxacin,RO,17.2,377.5,1.2,1.2,Antibiotic,,,,,,,,
24,Li,Naproxen,"Aerated Lanoons (2), Sand Tank",11,19400,2.1,62,Anti-inflammatory,,,,,,,,
31,Bo,Phenacetin,UV,1,15600,1,50,Analgesic,,,,,,,,
40,Mamo,Erythromycin,NF,,90,,0.3,Antibiotic,,,,,,,,
11,Dolar,Ofloxacin,RO,2.03,605,2.03,2.03,Antibiotic,,,,,,,,
8,Rodriguez-Mozaz,Ranitidine,RO,6.2,384,0.3,1.3,Antihistamine,,,,,,,,
39,Estrada-Arriaga,Androsterone,UV - ClO2,6.96,1980,6.96,6.96,Steroid Hormone,,,,,,,,
38,Knopp,1-Hydroxy ibuprofen,Ozone,25,7000,25,25,Drug Metabolite,,,,,,,,
24,Li,Triclosan,"Aerated Lanoons (2), Sand Tank",40,5440,1.6,19.5,Antifungal,,,,,,,,
39,Estrada-Arriaga,Naproxen,UV - ClO2,7.59,2090,7.59,7.59,Anti-inflammatory,,,,,,,,
8,Rodriguez-Mozaz,Sulfamethoxazole,RO,10,487.5,0.7,1.8,Antibiotic,,,,,,,,
11,Dolar,Atenolol,RO,6.89,1820,6.89,6.89,Beta-Blocker,,,,,,,,
3,Sim,Caffiene,Chlorine,13,3270,13,13,Stimulant,,,,,,,,
39,Estrada-Arriaga,Trimethoprim,UV - ClO2,0.9,220,0.9,0.9,Antibiotic,,,,,,,,
28,Chiu,Naproxen,UV,0.2,19000,0.2,80,Anti-inflammatory,,,,,,,,
40,Mamo,Clarithromycin,NF,,306.1,,1.3,Antibiotic,,,,,,,,
21,Le-Minh,Etiocholanone (E),MBR,,2260,,10,Drug metabolite,,,,,,,,
39,Estrada-Arriaga,Caffeine,ClO2,29,6430,29,29,Stimulant,,,,,,,,
25,Carmona,Ibuprofen,"Filtration, UV",30,4374,20,20,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Mestranol,UV - ClO2,4.41,947,4.41,4.41,Steroid Hormone,,,,,,,,
2,Margot,Levetiracetam,"Powdered Activated Carbon, Ultrafiltration",10,2100,10,9.9,Anticonvulsant,,,,,,,,
39,Estrada-Arriaga,Gemfibrozil,ClO2,2.9,605,2.9,2.9,Lipid Regulator,,,,,,,,
40,Mamo,Azithromycin,NF,,1510.4,,7.4,Antibiotic,,,,,,,,
21,Le-Minh,Androsterone (A),MBR,,2017,,10,Steroid Hormone,,,,,,,,
39,Estrada-Arriaga,Cotinine,ClO2,1.94,453,1.94,2.26,Opioid,,,,,,,,
38,Knopp,Diclofenac,Ozone,25,5000,25,25,Anti-inflammatory,,,,,,,,
8,Rodriguez-Mozaz,Trimethoprim,RO,5.6,118.5,0.3,0.6,Antibiotic,,,,,,,,
38,Knopp,Tolyltriazole,GAC,25,4900,25,25,Corrosion Inhibitor,,,,,,,,
38,Knopp,Tolyltriazole,"GAC, ae",25,4900,25,25,Corrosion Inhibitor,,,,,,,,
39,Estrada-Arriaga,Clarithromycin,ClO2,2.9,567,2.9,2.9,Antibiotic,,,,,,,,
4,Urtiaga,Atenolol,Reverse Osmosis,,778,,4,Beta-Blocker,,,,,,,,
5,Li,Sulfadiazine,Chlorine,,530,,2.8,Antibiotic,,,,,,,,
38,Knopp,Acyclovir,Ozone,25,4700,25,25,Antiviral,,,,,,,,
22,Li,Sulfadiazine,Ozone,0.05,2009,0.05,10.7,Antibiotic,,,,,,,,
38,Knopp,Iopromide,"GAC, ae",25,9200,25,50,Iodinated contrast medium,,,,,,,,
39,Estrada-Arriaga,Erythromycin-H2O,ClO2,4.44,769,4.44,4.44,Drug metabolite,,,,,,,,
41,Yang,Ibuprofen,MF,5000,11000,50,64,Anti-inflammatory,,,,,,,,
39,Estrada-Arriaga,Androstenedione,ClO2,2.16,371,2.16,2.16,Steroid Hormone,,,,,,,,
